id,loan_amnt,grade,sub_grade,verification_status,issue_d,loan_status,addr_state,home_ownership,revol_bal,total_pymnt,last_pymnt_d,issue_year,issue_month
96844,5300,A,A5,Not Verified,2007-07-01,Fully Paid,IN,MORTGAGE,6844,6012.561053,2010-07-01,2007,7
98276,5400,A,A3,Not Verified,2007-07-01,Fully Paid,GA,RENT,1321,6069.341452,2010-07-01,2007,7
98339,5100,A,A5,Not Verified,2007-07-01,Fully Paid,IN,RENT,4737,5779.031624,2010-04-01,2007,7
98982,5000,B,B2,Not Verified,2007-07-01,Fully Paid,VA,RENT,23489,5725.016258,2010-07-01,2007,7
99009,5750,A,A2,Not Verified,2007-07-01,Fully Paid,MA,MORTGAGE,2817,6421.743349,2010-05-01,2007,7
100214,5000,A,A2,Not Verified,2007-08-01,Fully Paid,WI,OWN,1783,5593.634135,2010-08-01,2007,8
101579,10000,C,C1,Not Verified,2007-07-01,Fully Paid,CO,RENT,3534,11662.89219,2010-07-01,2007,7
102376,25000,C,C2,Not Verified,2007-07-01,Fully Paid,NY,RENT,2422,29269.95527,2010-06-01,2007,7
106079,3500,B,B5,Not Verified,2007-07-01,Fully Paid,FL,RENT,2864,3942.013096,2009-03-01,2007,7
106360,2700,F,F4,Not Verified,2007-07-01,Fully Paid,MA,RENT,3075,3415.389823,2010-07-01,2007,7
107136,12250,C,C2,Not Verified,2007-07-01,Fully Paid,FL,RENT,17214,13128.88362,2008-04-01,2007,7
109355,1200,C,C5,Not Verified,2007-07-01,Fully Paid,ME,RENT,1153,1425.37,2010-07-01,2007,7
111227,20000,E,E1,Not Verified,2007-08-01,Charged Off,FL,MORTGAGE,41674,20339.66,2010-02-01,2007,8
111307,12000,D,D3,Not Verified,2007-08-01,Fully Paid,FL,OWN,43039,14449.28798,2010-07-01,2007,8
111917,6400,B,B4,Not Verified,2007-08-01,Fully Paid,WI,RENT,3362,7395.962477,2010-08-01,2007,8
112216,12000,D,D1,Not Verified,2007-08-01,Fully Paid,NY,RENT,11868,14361.46082,2011-03-01,2007,8
112245,5000,A,A2,Not Verified,2007-07-01,Fully Paid,WI,RENT,2562,5593.638527,2010-08-01,2007,7
112323,3500,C,C1,Not Verified,2007-07-01,Fully Paid,MA,RENT,1882,4097.157701,2010-09-01,2007,7
112496,3000,D,D1,Not Verified,2007-08-01,Fully Paid,IN,MORTGAGE,1064,3579.662273,2010-08-01,2007,8
113156,3500,A,A4,Not Verified,2007-08-01,Fully Paid,NJ,RENT,6432,3952.171178,2010-08-01,2007,8
113179,1000,C,C2,Not Verified,2007-08-01,Charged Off,VA,MORTGAGE,4485,703.95,2009-05-01,2007,8
113194,3500,B,B5,Not Verified,2007-08-01,Fully Paid,NJ,RENT,16310,4063.318618,2010-08-01,2007,8
116040,5000,B,B4,Not Verified,2007-08-01,Fully Paid,CT,MORTGAGE,20969,5778.087809,2010-08-01,2007,8
116582,10000,E,E2,Not Verified,2007-08-01,Fully Paid,NY,RENT,22213,12260.31053,2010-08-01,2007,8
117056,5000,A,A3,Not Verified,2007-08-01,Fully Paid,WI,MORTGAGE,2160,5592.073299,2010-01-01,2007,8
117249,5000,A,A2,Not Verified,2007-08-01,Fully Paid,AZ,MORTGAGE,813,5495.826405,2009-06-01,2007,8
117794,7500,A,A4,Not Verified,2007-08-01,Fully Paid,MA,MORTGAGE,23678,7826.508179,2008-03-01,2007,8
117863,8000,B,B5,Not Verified,2007-08-01,Fully Paid,MD,RENT,11289,9199.512831,2010-05-01,2007,8
118523,6500,F,F1,Not Verified,2007-08-01,Charged Off,GA,MORTGAGE,56411,4054.35,2009-02-01,2007,8
118533,2500,B,B4,Not Verified,2007-08-01,Charged Off,NE,MORTGAGE,269,2086.63,2010-03-01,2007,8
118823,2500,D,D4,Not Verified,2007-08-01,Charged Off,NE,MORTGAGE,3408,2220.61,2010-03-01,2007,8
119043,15450,C,C4,Not Verified,2007-08-01,Charged Off,VA,MORTGAGE,6513,11652.75,2009-10-01,2007,8
120215,4000,A,A2,Not Verified,2007-08-01,Fully Paid,NJ,RENT,330,4474.37586,2010-08-01,2007,8
120374,2000,B,B1,Not Verified,2007-08-01,Fully Paid,NY,RENT,5967,2279.4299,2010-08-01,2007,8
120525,4000,C,C3,Not Verified,2007-08-01,Fully Paid,VA,RENT,5533,4708.070922,2010-08-01,2007,8
121426,3000,A,A3,Not Verified,2007-08-01,Fully Paid,WA,OWN,21050,3125.460949,2008-04-01,2007,8
121530,3000,A,A3,Not Verified,2007-08-01,Fully Paid,WA,OWN,21050,3125.435781,2008-04-01,2007,8
121535,2800,B,B1,Not Verified,2007-08-01,Fully Paid,MA,NONE,8155,3191.218575,2010-09-01,2007,8
121568,4000,B,B4,Not Verified,2007-08-01,Fully Paid,CA,NONE,8155,4622.489229,2010-09-01,2007,8
121824,3000,B,B1,Not Verified,2007-08-01,Fully Paid,FL,MORTGAGE,3678,3158.893661,2008-05-01,2007,8
122070,5400,D,D2,Not Verified,2007-08-01,Fully Paid,MA,MORTGAGE,2040,6446.047047,2010-04-01,2007,8
122404,12750,F,F2,Not Verified,2007-08-01,Fully Paid,NY,RENT,33074,13813.15438,2008-04-01,2007,8
122637,4000,A,A3,Not Verified,2007-08-01,Fully Paid,CT,OWN,1918,4495.838507,2010-09-01,2007,8
122718,18500,F,F2,Not Verified,2007-08-01,Fully Paid,NY,RENT,22379,20042.61423,2008-04-01,2007,8
123228,20000,B,B4,Not Verified,2007-09-01,Charged Off,NY,RENT,10296,12838.44,2009-05-01,2007,9
123230,3175,C,C5,Not Verified,2007-08-01,Charged Off,MA,OWN,2867,628.19,2008-03-01,2007,8
124436,4800,C,C4,Not Verified,2007-09-01,Fully Paid,NE,RENT,12310,5675.572528,2010-09-01,2007,9
125671,12125,B,B1,Not Verified,2007-09-01,Fully Paid,NY,MORTGAGE,61921,13819.081,2010-09-01,2007,9
125897,6625,C,C4,Not Verified,2007-09-01,Fully Paid,VA,MORTGAGE,16738,7174.090957,2008-08-01,2007,9
126213,9500,A,A4,Not Verified,2007-09-01,Fully Paid,MA,OWN,40384,10727.30463,2010-09-01,2007,9
126215,5000,A,A3,Not Verified,2007-09-01,Fully Paid,OH,RENT,1359,5459.636223,2009-05-01,2007,9
126287,10000,C,C5,Not Verified,2007-09-01,Fully Paid,MA,MORTGAGE,107501,11068.42185,2008-10-01,2007,9
126392,10000,A,A4,Not Verified,2007-09-01,Fully Paid,WI,MORTGAGE,3054,10435.30342,2008-04-01,2007,9
126776,9500,A,A4,Not Verified,2007-10-01,Fully Paid,MA,OWN,40384,10727.30463,2010-10-01,2007,10
126788,7500,B,B3,Not Verified,2007-09-01,Fully Paid,FL,MORTGAGE,128000,8104.154188,2008-09-01,2007,9
127213,2000,A,A1,Not Verified,2007-09-01,Fully Paid,MA,MORTGAGE,4709,2219.432551,2010-04-01,2007,9
127353,2850,D,D1,Not Verified,2007-09-01,Fully Paid,NY,RENT,2850,3381.645272,2010-04-01,2007,9
127472,2125,F,F1,Not Verified,2007-09-01,Charged Off,NC,MORTGAGE,51,2580.248838,2009-03-01,2007,9
127504,10000,A,A4,Not Verified,2007-11-01,Fully Paid,MA,MORTGAGE,37152,11291.91405,2010-11-01,2007,11
127531,17000,B,B3,Not Verified,2007-09-01,Fully Paid,NY,RENT,3839,19555.18587,2010-09-01,2007,9
127719,10000,A,A4,Not Verified,2007-11-01,Fully Paid,MA,MORTGAGE,37152,11291.91956,2010-11-01,2007,11
127830,8000,D,D2,Not Verified,2007-09-01,Charged Off,FL,MORTGAGE,26283,7294.65,2009-12-01,2007,9
128635,6500,C,C1,Not Verified,2007-09-01,Fully Paid,NY,OWN,5607,7648.052287,2010-10-01,2007,9
128881,7000,D,D3,Not Verified,2007-09-01,Fully Paid,NM,RENT,1061,8570.680502,2010-11-01,2007,9
129745,10000,C,C1,Not Verified,2007-09-01,Fully Paid,NC,RENT,56740,11663.55831,2010-10-01,2007,9
130512,7250,C,C2,Not Verified,2007-10-01,Fully Paid,MD,MORTGAGE,40598,8192.665786,2009-05-01,2007,10
130735,10250,E,E4,Not Verified,2007-10-01,Fully Paid,FL,RENT,3815,11444.36549,2008-09-01,2007,10
130907,3775,A,A2,Not Verified,2007-10-01,Fully Paid,MO,MORTGAGE,0,4191.717919,2010-08-01,2007,10
130986,2100,A,A1,Not Verified,2007-10-01,Fully Paid,MA,RENT,50,2338.44735,2010-10-01,2007,10
131223,20000,F,F3,Not Verified,2007-10-01,Fully Paid,MD,RENT,4569,25188.82338,2010-10-01,2007,10
131387,6000,C,C2,Not Verified,2007-10-01,Fully Paid,NY,RENT,8528,7029.69413,2010-10-01,2007,10
131618,9000,C,C4,Not Verified,2007-10-01,Fully Paid,AZ,RENT,14345,10641.12426,2010-10-01,2007,10
131649,6625,C,C4,Not Verified,2007-10-01,Fully Paid,WA,RENT,113,7833.037378,2010-10-01,2007,10
131782,7725,E,E2,Not Verified,2007-10-01,Charged Off,NY,RENT,12231,6138.0,2009-12-01,2007,10
132062,7200,E,E5,Not Verified,2007-10-01,Fully Paid,MA,RENT,13552,8943.420138,2010-10-01,2007,10
132172,6000,C,C1,Not Verified,2007-10-01,Fully Paid,MO,MORTGAGE,16813,6939.838576,2010-02-01,2007,10
132892,9000,D,D3,Not Verified,2007-10-01,Charged Off,MD,MORTGAGE,26233,4015.96,2008-05-01,2007,10
132946,5275,A,A2,Not Verified,2007-10-01,Fully Paid,NC,MORTGAGE,5760,5900.951139,2010-10-01,2007,10
133301,4650,C,C1,Not Verified,2007-10-01,Charged Off,MO,MORTGAGE,105,4073.98,2009-10-01,2007,10
133685,6625,C,C4,Not Verified,2007-10-01,Fully Paid,VA,RENT,11490,7762.02533,2010-02-01,2007,10
134436,2525,D,D5,Not Verified,2007-10-01,Fully Paid,UT,MORTGAGE,17641,3068.020133,2010-10-01,2007,10
135201,10000,C,C4,Not Verified,2007-10-01,Fully Paid,IN,MORTGAGE,0,10273.97249,2008-01-01,2007,10
135594,5275,A,A4,Not Verified,2007-10-01,Fully Paid,NC,MORTGAGE,12430,5504.771552,2008-05-01,2007,10
136226,4300,C,C3,Not Verified,2007-10-01,Fully Paid,MA,RENT,12323,5035.12991,2010-04-01,2007,10
136316,3025,C,C1,Not Verified,2007-10-01,Fully Paid,LA,RENT,38624,3515.867902,2010-05-01,2007,10
136491,5000,D,D2,Not Verified,2007-10-01,Charged Off,MD,RENT,875,2477.03,2009-07-01,2007,10
136634,8500,D,D3,Not Verified,2007-10-01,Fully Paid,MD,MORTGAGE,1196,10235.30514,2010-10-01,2007,10
137042,25000,E,E4,Not Verified,2007-10-01,Fully Paid,NY,MORTGAGE,26628,6989.312454,2010-10-01,2007,10
137106,4275,C,C1,Not Verified,2007-10-01,Fully Paid,SC,OWN,6752,4382.295761,2008-01-01,2007,10
137271,2100,D,D3,Not Verified,2007-10-01,Charged Off,NC,RENT,458,2313.97,2008-06-01,2007,10
137965,8000,A,A5,Not Verified,2007-10-01,Fully Paid,NY,RENT,16786,9013.504593,2010-02-01,2007,10
138557,8275,B,B2,Not Verified,2007-10-01,Fully Paid,SC,MORTGAGE,7336,9474.504091,2010-10-01,2007,10
138568,3275,B,B3,Not Verified,2007-10-01,Fully Paid,NC,MORTGAGE,7089,3767.310996,2010-10-01,2007,10
139057,5500,A,A4,Not Verified,2007-10-01,Fully Paid,SC,RENT,18388,6207.582068,2010-09-01,2007,10
139657,1200,B,B5,Not Verified,2007-10-01,Fully Paid,KS,OWN,613,1393.109735,2010-11-01,2007,10
139790,3000,D,D3,Not Verified,2007-10-01,Charged Off,NJ,RENT,566,3597.734061,2009-12-01,2007,10
139968,10000,D,D4,Not Verified,2007-10-01,Fully Paid,AL,RENT,9166,12074.02691,2010-07-01,2007,10
139980,12000,C,C3,Not Verified,2007-10-01,Charged Off,GA,MORTGAGE,5406,4820.71,2010-03-01,2007,10
140036,4000,B,B5,Not Verified,2007-10-01,Charged Off,NJ,RENT,1188,868.81,2010-01-01,2007,10
140452,3000,B,B5,Not Verified,2007-10-01,Fully Paid,NJ,OWN,12003,3528.643953,2010-10-01,2007,10
140561,2225,C,C2,Not Verified,2007-10-01,Charged Off,CA,RENT,20511,520.03,2008-05-01,2007,10
140687,2825,B,B4,Not Verified,2007-10-01,Fully Paid,TN,MORTGAGE,55720,3264.399986,2010-11-01,2007,10
140900,8275,A,A4,Not Verified,2007-10-01,Fully Paid,NC,MORTGAGE,7744,8539.466798,2008-04-01,2007,10
141041,5275,B,B4,Not Verified,2007-10-01,Fully Paid,NC,MORTGAGE,51761,6095.488269,2010-11-01,2007,10
141676,6225,C,C5,Not Verified,2007-10-01,Fully Paid,MA,RENT,579,6890.119612,2008-12-01,2007,10
141774,20000,D,D5,Not Verified,2007-10-01,Charged Off,NJ,MORTGAGE,34776,1605.3,2008-08-01,2007,10
142281,7000,C,C1,Not Verified,2007-10-01,Fully Paid,WA,RENT,8047,7850.413498,2009-05-01,2007,10
142608,5000,C,C2,Not Verified,2007-10-01,Fully Paid,ME,RENT,0,5931.806949,2010-10-01,2007,10
142618,4800,C,C5,Not Verified,2007-10-01,Fully Paid,AL,RENT,409,5701.515761,2010-11-01,2007,10
142734,25000,B,B2,Not Verified,2007-11-01,Fully Paid,WA,MORTGAGE,185,27752.44158,2009-06-01,2007,11
142790,4925,B,B5,Not Verified,2007-10-01,Fully Paid,VA,MORTGAGE,48251,5664.122277,2010-06-01,2007,10
143102,3000,C,C1,Not Verified,2007-10-01,Fully Paid,LA,RENT,772,3499.046563,2010-11-01,2007,10
143128,8000,C,C5,Not Verified,2007-11-01,Fully Paid,NH,RENT,1019,9504.997523,2010-11-01,2007,11
143566,12375,C,C3,Not Verified,2007-11-01,Fully Paid,VA,MORTGAGE,8332,14566.08622,2010-11-01,2007,11
144579,9850,A,A3,Not Verified,2007-11-01,Fully Paid,NY,RENT,1790,10461.78715,2008-10-01,2007,11
144635,25000,D,D4,Not Verified,2007-11-01,Charged Off,FL,MORTGAGE,62739,9239.37,2008-10-01,2007,11
146564,8275,C,C2,Not Verified,2007-11-01,Charged Off,NC,MORTGAGE,29901,8094.3,2010-05-01,2007,11
146641,8000,D,D1,Not Verified,2007-11-01,Fully Paid,UT,RENT,5867,8231.777527,2008-02-01,2007,11
146671,25000,B,B4,Not Verified,2007-11-01,Fully Paid,SD,MORTGAGE,10605,26131.73499,2008-05-01,2007,11
146844,15450,C,C3,Not Verified,2007-11-01,Charged Off,WA,RENT,57196,12699.13,2011-12-01,2007,11
148473,10000,B,B2,Not Verified,2007-11-01,Charged Off,NY,MORTGAGE,481,4484.82,2009-07-01,2007,11
149575,10000,A,A5,Not Verified,2007-11-01,Fully Paid,SC,RENT,2282,11121.68928,2009-10-01,2007,11
149754,4000,C,C3,Not Verified,2007-11-01,Fully Paid,FL,RENT,3614,4708.201721,2010-11-01,2007,11
150940,7000,C,C2,Not Verified,2007-11-01,Fully Paid,AZ,MORTGAGE,14930,8174.02191,2010-05-01,2007,11
151587,19950,B,B5,Not Verified,2007-11-01,Fully Paid,MA,MORTGAGE,33989,22759.93342,2009-11-01,2007,11
151607,1500,E,E5,Not Verified,2007-11-01,Fully Paid,MD,RENT,1238,1664.724606,2008-09-01,2007,11
151621,18000,B,B2,Not Verified,2007-11-01,Fully Paid,GA,MORTGAGE,4746,20609.24655,2010-11-01,2007,11
152291,4800,A,A3,Not Verified,2007-11-01,Fully Paid,TX,RENT,3470,5395.041887,2010-11-01,2007,11
152663,3000,B,B5,Not Verified,2007-11-01,Fully Paid,VA,RENT,12640,3161.605037,2008-06-01,2007,11
153022,3000,A,A1,Not Verified,2007-11-01,Fully Paid,WA,MORTGAGE,368,3339.035809,2010-10-01,2007,11
153054,5875,C,C3,Not Verified,2007-11-01,Fully Paid,VA,MORTGAGE,30597,6690.131289,2009-07-01,2007,11
153235,18000,C,C5,Not Verified,2007-11-01,Fully Paid,FL,RENT,8537,21380.72297,2010-11-01,2007,11
153434,12000,C,C3,Not Verified,2007-11-01,Fully Paid,MA,RENT,15649,14204.69083,2010-11-01,2007,11
154141,5000,A,A3,Not Verified,2007-11-01,Fully Paid,FL,MORTGAGE,4067,5417.794338,2009-03-01,2007,11
154154,4800,C,C1,Not Verified,2007-11-01,Fully Paid,VA,RENT,5836,5134.085288,2008-08-01,2007,11
154286,15000,C,C1,Not Verified,2007-11-01,Fully Paid,WA,RENT,24615,17586.45199,2011-03-01,2007,11
154305,3600,C,C1,Not Verified,2007-11-01,Fully Paid,MA,RENT,7600,4198.854301,2010-11-01,2007,11
154776,6800,C,C4,Not Verified,2007-11-01,Charged Off,NJ,RENT,9495,2009.43,2008-08-01,2007,11
155780,4800,A,A3,Not Verified,2007-11-01,Fully Paid,LA,RENT,4921,5162.394223,2009-01-01,2007,11
156021,6400,C,C5,Not Verified,2007-11-01,Fully Paid,NY,RENT,11200,7775.636871,2012-04-01,2007,11
156417,6000,A,A2,Not Verified,2007-11-01,Fully Paid,DE,MORTGAGE,2444,6208.942922,2008-06-01,2007,11
156868,24750,B,B3,Not Verified,2007-11-01,Fully Paid,NY,RENT,916,28482.75432,2011-01-01,2007,11
157169,25000,B,B2,Not Verified,2007-11-01,Charged Off,FL,MORTGAGE,148829,10361.33,2008-12-01,2007,11
157768,4000,B,B1,Not Verified,2007-12-01,Fully Paid,TX,RENT,3209,4559.031276,2010-12-01,2007,12
158289,9000,C,C3,Not Verified,2007-12-01,Fully Paid,NY,RENT,7570,10593.50755,2010-12-01,2007,12
158706,12375,C,C3,Not Verified,2007-12-01,Fully Paid,VA,RENT,13126,14370.92225,2010-02-01,2007,12
159468,12000,D,D1,Not Verified,2007-12-01,Fully Paid,NJ,MORTGAGE,66654,13399.12782,2009-02-01,2007,12
159665,5750,A,A2,Not Verified,2007-12-01,Fully Paid,MA,RENT,50,6432.31679,2010-12-01,2007,12
159713,900,C,C1,Not Verified,2007-11-01,Charged Off,FL,RENT,3084,986.55,2011-05-01,2007,11
161187,12950,B,B5,Not Verified,2007-12-01,Fully Paid,VA,MORTGAGE,2598,14773.99102,2009-12-01,2007,12
163627,4000,C,C2,Not Verified,2007-12-01,Fully Paid,WA,RENT,18168,4686.458561,2010-12-01,2007,12
163758,3000,C,C4,Not Verified,2007-12-01,Fully Paid,GA,MORTGAGE,24218,3547.037137,2010-12-01,2007,12
164346,500,A,A4,Not Verified,2007-11-01,Fully Paid,NY,RENT,0,565.0251577,2010-12-01,2007,11
164741,16000,C,C3,Not Verified,2007-12-01,Fully Paid,NY,RENT,72303,18832.94253,2010-12-01,2007,12
164792,17600,B,B1,Not Verified,2007-12-01,Fully Paid,VA,RENT,1032,18920.57192,2008-12-01,2007,12
166437,9600,C,C4,Not Verified,2007-12-01,Fully Paid,MA,RENT,133,11289.55269,2010-08-01,2007,12
166534,16000,C,C5,Not Verified,2007-12-01,Charged Off,FL,RENT,34023,8877.15,2009-04-01,2007,12
166546,3000,A,A2,Not Verified,2007-11-01,Fully Paid,MD,RENT,12430,3135.507949,2008-08-01,2007,11
166683,6500,A,A3,Not Verified,2007-12-01,Fully Paid,NC,OWN,10742,7305.786154,2010-12-01,2007,12
166747,5000,D,D1,Not Verified,2007-12-01,Charged Off,FL,OWN,2197,2831.89,2009-04-01,2007,12
167189,4900,C,C1,Not Verified,2007-12-01,Charged Off,NY,RENT,88,1587.33,2008-10-01,2007,12
167205,15000,C,C1,Not Verified,2007-12-01,Fully Paid,NJ,RENT,13867,17495.30684,2010-12-01,2007,12
167584,10000,B,B5,Not Verified,2007-12-01,Charged Off,FL,RENT,3943,4514.0,2009-02-01,2007,12
167645,10000,B,B1,Not Verified,2007-12-01,Fully Paid,WY,RENT,5405,6778.258742,2010-04-01,2007,12
167846,11300,D,D2,Not Verified,2007-12-01,Fully Paid,IN,RENT,12102,13441.00357,2010-06-01,2007,12
168100,18000,D,D2,Not Verified,2007-12-01,Fully Paid,CO,MORTGAGE,18076,21557.49245,2010-11-01,2007,12
168190,3975,D,D2,Not Verified,2007-12-01,Charged Off,NY,RENT,4504,2529.27,2009-08-01,2007,12
168222,25000,D,D1,Not Verified,2007-12-01,Fully Paid,AZ,RENT,25852,27392.2032,2008-11-01,2007,12
169044,18500,C,C3,Not Verified,2007-12-01,Fully Paid,SC,MORTGAGE,32438,21805.83242,2011-01-01,2007,12
169254,17000,B,B1,Not Verified,2007-12-01,Fully Paid,GA,MORTGAGE,20380,18867.74967,2009-08-01,2007,12
169354,5400,B,B3,Not Verified,2007-12-01,Fully Paid,AL,OWN,38054,5894.49,2009-02-01,2007,12
169453,18500,C,C3,Not Verified,2007-12-01,Fully Paid,WA,RENT,25,20479.9813,2009-02-01,2007,12
169525,9000,B,B5,Not Verified,2007-12-01,Fully Paid,NY,RENT,3305,10478.72198,2011-01-01,2007,12
169793,16000,D,D1,Not Verified,2007-12-01,Charged Off,GA,OWN,348,7894.73,2009-02-01,2007,12
170488,5000,B,B1,Not Verified,2007-12-01,Fully Paid,FL,MORTGAGE,3015,5681.902201,2010-07-01,2007,12
170528,12000,C,C2,Not Verified,2007-12-01,Fully Paid,MO,MORTGAGE,7336,14059.38537,2010-12-01,2007,12
170929,9000,D,D3,Not Verified,2007-12-01,Fully Paid,NY,MORTGAGE,8644,10042.83051,2009-01-01,2007,12
171220,20000,C,C5,Not Verified,2007-12-01,Charged Off,NC,MORTGAGE,93,18930.34,2009-03-01,2007,12
171298,7000,A,A2,Not Verified,2007-12-01,Fully Paid,KY,RENT,2698,7830.665691,2010-12-01,2007,12
172644,12000,C,C1,Not Verified,2007-12-01,Fully Paid,UT,MORTGAGE,19009,13996.25553,2010-12-01,2007,12
172802,5000,B,B1,Not Verified,2007-12-01,Fully Paid,NJ,RENT,498,5698.810312,2010-12-01,2007,12
